"Date","Tweet","Location","Retweets","Link to tweet"
"17-02-2020","   announces plan for reinvention by eliminating and offsetting   by 2050. Details are scant, as reported i...","","6","https://twitter.com/LightspeedSteps/status/1229165185228779522"
"17-02-2020","   announces plan for reinvention by eliminating and offsetting   by 2050. Details are scant, as reported i...","","6","https://twitter.com/meowwsss/status/1229165036972781573"
"17-02-2020","   announces plan for reinvention by eliminating and offsetting   by 2050. Details are scant, as reported i...","Finland","6","https://twitter.com/Dragofix/status/1229164942391218184"
"17-02-2020","  The production, use and disposal of  creates significant  gas  throughout the plastic value cha...","London","1","https://twitter.com/Fireynolds/status/1229123923075305472"
"17-02-2020","  If you are in search of  sources for   operations, please consider those that reduce ...","London, England","2","https://twitter.com/nath_swerve/status/1229105816155959297"
"17-02-2020","  We bought into a horrendous lie, that natural gas would transition us to lower  emissions. But now we see that...","","2","https://twitter.com/CiiaqapLFraser/status/1229095517432377347"
"17-02-2020","  We bought into a horrendous lie, that natural gas would transition us to lower  emissions. But now we see that...","","2","https://twitter.com/LastaGraf/status/1229091581665263618"
"17-02-2020","We bought into a horrendous lie, that natural gas would transition us to lower  emissions. But now we see that fracking for gas is making our  goals unreachable.   https//t.co/yZNJkcqrju","Comox Valley, British Columbia","2","https://twitter.com/ChrisAikman2/status/1229088240000389120"
"16-02-2020","‘ running out to    ’ - ‘Future of , 2020’ report  Click here to read full Article https//t.co/EXdpoeUnaB  Related Tags ,,,, https//t.co/XT6gRoEQpj","Hyderabad, Delhi, Bangalore","0","https://twitter.com/PragnyaAcademy/status/1229039582072561664"
"15-02-2020",".More  gas  & plastic pollution, by burning , is not a solution; contracts END the  & ensure more drilled oil/gas https//t.co/vfTq0RLxbv       /own goal","Derby, Derbyshire","0","https://twitter.com/DorothySkrytek/status/1228646440790110208"
"15-02-2020"," .Thanks, more  gas  & plastic value chain pollution, by burning , is not a solution; contracts END the  & = more oil/gas drilling https//t.co/vfTq0RLxbv     /own goal","Derby, Derbyshire","0","https://twitter.com/DorothySkrytek/status/1228645236743733248"
"15-02-2020","The production, use and disposal of  creates significant  gas  throughout the plastic value chain. Potential solutions exist at each stage of the circular economy. Read our report to find out more  https//t.co/a1fb5sfcMP https//t.co/9wy5xnfk6f","London","1","https://twitter.com/PRI_News/status/1228642359409135618"
"15-02-2020","A study by the team from the Institute of Oceanology of the Chinese Academy of Sciences found that  gas emissions have played an important role in the acceleration of global  circulation. More info https//t.co/fWf4zoGkD1 https//t.co/EmIi5yHdi9","","0","https://twitter.com/cciced/status/1228629530614489088"
"15-02-2020","  The  continues to hurt our  by being a major contributor of  gas emissions. On this ...","Birmingham","4","https://twitter.com/NistaUndercover/status/1228622290373533697"
"15-02-2020","  The  continues to hurt our  by being a major contributor of  gas emissions. On this ...","England, United Kingdom","4","https://twitter.com/TheFashionRecy1/status/1228473947945127939"
"15-02-2020","   announces plan for reinvention by eliminating and offsetting   by 2050. Details are scant, as reported i...","","6","https://twitter.com/781Moksha2011/status/1228387665441148930"
"15-02-2020","Bones have inspired a new way to harness renewable osmotic energy  as  hunt for ways of generating  to achieve   gas emission targets  https//t.co/UKRlThP9Z5       https//t.co/JTX2OouLCX","United Kingdom","0","https://twitter.com/IET_online/status/1228374640453672960"
"15-02-2020","  The  continues to hurt our  by being a major contributor of  gas emissions. On this ...","London, England","4","https://twitter.com/_DirtyFashion_/status/1228367901608022016"
"15-02-2020"," – Monarch’s  weekly wrap up  -  to start imposing charges on shipping vessels, theyre responsible for 3% of global   emissions - Global  emissions from energy stopped growing in 2019 following 2 years of increases","Wallington, Surrey, UK","0","https://twitter.com/MonarchPship/status/1228361273961832448"
"15-02-2020","The  continues to hurt our  by being a major contributor of  gas emissions. On this ,  by shopping secondhand and donating your clothing. Every small task helps to combat .    https//t.co/eHljKNkjto","Elkridge, MD","4","https://twitter.com/planetaid/status/1228355887275945986"
"14-02-2020","   announces plan for reinvention by eliminating and offsetting   by 2050. Details are scant, as reported i...","","6","https://twitter.com/NatureRulesUs/status/1228340603106340864"
"14-02-2020"," announces plan for reinvention by eliminating and offsetting   by 2050. Details are scant, as reported in  .  https//t.co/GvzVW5QhhD","","6","https://twitter.com/EcoWatch/status/1228321774804389889"
"14-02-2020","In , the program aims at achieving large  Gas Emissions reductions and is expected to benefit over 200,000 people.    partners with  on the field of public building refurbishments https//t.co/eO4PrzjBjo","Brussels, Belgium","0","https://twitter.com/EuFoA/status/1228253914572763136"
"14-02-2020","  Did you know that  helps to meet the COP 21 ’s goal of limiting  to 1.5 °C...","N 41°58 0 / E 2°49 0","2","https://twitter.com/CasadevallCarla/status/1228247047419154432"
"14-02-2020","  Did you know that  helps to meet the COP 21 ’s goal of limiting  to 1.5 °C...","Toronto, Ontario","2","https://twitter.com/kapilnarwal/status/1228238680072052737"
"14-02-2020","Did you know that  helps to meet the COP 21 ’s goal of limiting  to 1.5 °C, by lowering the production of basic materials and thus,  gas emissions? https//t.co/9fWdkfdOiS    https//t.co/2wBFk0IfKY","Europe","2","https://twitter.com/sunriseaction/status/1228237204100542465"
"14-02-2020","Research shows online grocery shopping benefits the . When consumers buy groceries online, they waste less food. Cutting food waste takes out a major source of  gas emissions.    https//t.co/yK9z5XjLjR https//t.co/TOxjIPGB6r","Sugar Land, TX","0","https://twitter.com/SamSubramanian/status/1228101059551354883"
"14-02-2020","    20% of current  gas  comes from the destruction of tropical  https//t.co/NAmaw...","California, USA","3","https://twitter.com/HedwigPost4/status/1228089362522337280"
"14-02-2020","20% of the Amazon is a  gas source.   Read more https//t.co/6x18y9ab4e https//t.co/xZfZvhg835 Via ","Milano +45.465556°, +9.190000°","0","https://twitter.com/RobRe62/status/1228031806701801474"
"14-02-2020","Reducing  is a key challenge in fighting . Wasted and lost food accounts for almost 10% of all our  gas , according to the .     https//t.co/bsKWPqouXm","London","0","https://twitter.com/EcoAroundUK/status/1228022126566924291"
"14-02-2020","$537 Billion... thats the value of the 10 largest fortunes with links to  gas emissions. Warren Buffet ranks 3rd on the list. Read more about what this means for the shift in the status quo >> https//t.co/uYUEjVBVEP      https//t.co/dwgjZoHVG2","Houston, TX","0","https://twitter.com/hendersonrigs/status/1228016051947851777"
"14-02-2020","    20% of current  gas  comes from the destruction of tropical  https//t.co/NAmaw...","Denver, CO","3","https://twitter.com/JeffreyPote/status/1227986507614453760"
"13-02-2020"," the   will cost $1tn,  says                     🇦🇷 https//t.co/ZE0DxmNt7u https//t.co/gKy9JtzABp","San Lorenzo, Argentina","0","https://twitter.com/SControlService/status/1227982286928457729"
"13-02-2020","   (or ‘retrofitting’) refers to the  of buildings to   use and associated ...","England, United Kingdom","1","https://twitter.com/ha_magazine/status/1227971450742636544"
"13-02-2020"," (or ‘retrofitting’) refers to the  of buildings to   use and associated  gas . More than just a pursuit to improve aesthetics, it involves making other smart changes. https//t.co/y4EWk32AQI  https//t.co/DpIQ1DiFtA","Skelmersdale, Lancashire, UK","1","https://twitter.com/UKSustainable/status/1227967426492588033"
"13-02-2020","    20% of current  gas  comes from the destruction of tropical  https//t.co/NAmaw...","Denver, Colorado","3","https://twitter.com/ecoplanetmedia/status/1227963658795454465"
"13-02-2020","  20% of current  gas  comes from the destruction of tropical  https//t.co/NAmawsXBRW","","3","https://twitter.com/MyTreePlanet/status/1227963452313997313"
"13-02-2020"," new ambition to be a  company by 2050 or sooner covers the  gas  from its operations worldwide, currently around 55 million tonnes of  equivalent (MteCO2e) a year.    https//t.co/Rzibu42cTm","Black Sea Region, Europe and Middle East","0","https://twitter.com/EnergyInReview/status/1227953999342657536"
"13-02-2020","  Disentangling the effects of  community and environment on   gas production by a recipr...","","1","https://twitter.com/FjcervantesL/status/1227937321674313728"
"13-02-2020","Disentangling the effects of  community and environment on   gas production by a reciprocal transplant experiment https//t.co/gNjZieruXU","","1","https://twitter.com/AnttiJRissanen1/status/1227892344579600384"
"13-02-2020","  Countries with a high reliance on nature-dependent exports also show persistently high  gas  from...","London, U.K.","3","https://twitter.com/CharlottaCampan/status/1227870572283072512"
