"Date","Tweet","Location","Retweets","Link to tweet"
"14-02-2020","How will the world function without a material on which we depend so deeply? We need economy-wide solutions and serious r&d  https//t.co/Koak6pDSbc             https//t.co/bSMEmvaMib","Brussels, Belgium","1","https://twitter.com/ClimateGilda/status/1228328063987068933"
"14-02-2020","  This is so crucial -- please sign  Free https//t.co/70JrKDjTee via ","England, United Kingdom","1","https://twitter.com/CastingsFind/status/1228311190205554688"
"14-02-2020","  Our latest report finds that  from  fuels is attributed to an estimated 4.5 million deaths each year...","Amsterdam, The Netherlands","7","https://twitter.com/climatemorgan/status/1228303110860410882"
"14-02-2020","This is so crucial -- please sign  Free https//t.co/70JrKDjTee via ","","1","https://twitter.com/ESpurginHussey/status/1228280129358639106"
"14-02-2020","                                                   Fossil fuels are proven to work when it gets cold. https//t.co/SatoDRsPxr","Australia","0","https://twitter.com/AreWeThatStupi1/status/1228273934400811008"
"14-02-2020","  We are in a .   fuels need to stay in the ground. https//t.co/INlWDTgh5m","","3","https://twitter.com/Guravy70/status/1228068059400765440"
"14-02-2020","  This is so crucial -- please sign  Free https//t.co/GT120MipDk via ","Devon","1","https://twitter.com/geetiesingh/status/1228017507585359872"
"14-02-2020","  After spending 4 days with people from countries that are hardest hit by , it is impossible to defend the de...","uk","1","https://twitter.com/clareshakya/status/1228000510906642437"
"13-02-2020","  We are in a .   fuels need to stay in the ground. https//t.co/INlWDTgh5m","Tienen, België","3","https://twitter.com/benishii_/status/1227973553552842752"
"13-02-2020","After spending 4 days with people from countries that are hardest hit by , it is impossible to defend the decision by the  to publicly fund  fuels; https//t.co/whqFu2wQuv","","1","https://twitter.com/MaeveMcLynn/status/1227970670958665728"
"13-02-2020","  We are in a .   fuels need to stay in the ground. https//t.co/INlWDTgh5m","","3","https://twitter.com/mrtallerjerry/status/1227970239465279488"
"13-02-2020","We are in a .   fuels need to stay in the ground. https//t.co/INlWDTgh5m","Edinburgh, Scotland","3","https://twitter.com/WWFScotland/status/1227970124361216002"
"13-02-2020","This is so crucial -- please sign  Free https//t.co/ylki7ZxIs2 via ","UK","0","https://twitter.com/lizmallard/status/1227962078960463873"
"13-02-2020","This is so crucial -- please sign  Free https//t.co/Pb6YCD8JjX via ","West Wales","0","https://twitter.com/teifidancer/status/1227955858388267008"
"13-02-2020","This is so crucial -- please sign  Free https//t.co/dHHR5stG98 via ","Wolverhampton","0","https://twitter.com/KimberleyHyatt/status/1227953047873163265"
"13-02-2020"," The challenge for , air quality and fight against the dependency on  fuels is huge. Lets go for it.  can help! https//t.co/khmDBDFkun via  https//t.co/kYvssCgfIW","Paris, France","0","https://twitter.com/SymbioFCell/status/1227951855449333760"
"13-02-2020","This is so crucial -- please sign  Free https//t.co/GT120MipDk via ","South Devon","1","https://twitter.com/GeoffreyPetty/status/1227925741137993733"
"13-02-2020","This is so crucial -- please sign  Free https//t.co/y8oUy9LU0j via ","chesterfield ,derbys","0","https://twitter.com/JohnWil98137523/status/1227923779285897216"
"13-02-2020","  Our latest report finds that  from  fuels is attributed to an estimated 4.5 million deaths each year...","Helsinki, Suomi","7","https://twitter.com/harrilammi/status/1227897738907541505"
"13-02-2020","  Our latest report finds that  from  fuels is attributed to an estimated 4.5 million deaths each year...","","7","https://twitter.com/Sunnyday7771/status/1227897693780856832"
"13-02-2020","  Our latest report finds that  from  fuels is attributed to an estimated 4.5 million deaths each year...","Beijing","7","https://twitter.com/GreenpeaceEAsia/status/1227897372144881664"
"13-02-2020","  Does fit for the future mean funding  fuels? Whats the point in publicizing the , if   are then going to pay for  projects? This is not the  I voted for. https//t.co/ZjxLfMds1o","Italy","0","https://twitter.com/t_Cmdn/status/1227879693501784065"
"13-02-2020","This is so crucial -- please sign  Free https//t.co/L4dsYffTWV via ","Wolverhampton, UK","0","https://twitter.com/catchaminute/status/1227879023881195520"
"13-02-2020","  Our latest report finds that  from  fuels is attributed to an estimated 4.5 million deaths each year...","","7","https://twitter.com/of_snp/status/1227867872598380549"
"13-02-2020","Our latest report finds that  from  fuels is attributed to an estimated 4.5 million deaths each year and costs the world US$8 billion every day.     https//t.co/z07xs1RXkI","Hong Kong","7","https://twitter.com/greenpeace_hk/status/1227864424846745600"
"13-02-2020"," How is 47% man-made? Where are you pulling these numbers from? How can you say this  in ? Just accept your ‘Government’ failed and should try to manage the next disaster better.  Eco-terrorists are the ones burning  fuels and cutting ! ","Melbourne, Australia","0","https://twitter.com/david_lunt/status/1227839964445995009"
"13-02-2020","https//t.co/o2YXrGy3J0 The Saddest Thing Is That It Wont Be Breaking News Concentration of CO2 Hits Record High of 416 ppm | Emissions from   and deforestation need to be reduced to ZERO to stop this trend! https//t.co/ydbZlQD22M","37°1402.4""N 115°4821.6""W","0","https://twitter.com/VitalAnon/status/1227787825673719808"
"13-02-2020","Un wants the   to   to  from            $QRL $BTCUSD   https//t.co/Kl9pGrcrnF","The World","0","https://twitter.com/CoinCapsAi/status/1227759452037709825"
"13-02-2020","     , And Will    Of ?        https//t.co/NTgsvFefqn via  News","Netherlands The Hague","0","https://twitter.com/news_sands/status/1227757880742498305"
"13-02-2020",", any plans to divest your investments in  fuels? Academics -time to shift our super elsewhere?  https//t.co/a6FhSA1lF4","Sydney, New South Wales","0","https://twitter.com/rebeccaivers/status/1227660271822524416"
"12-02-2020","Interesting article that shows that  power is both far safer than  fuels, but also about as safe as  . Wonder how those figures are going to evolve in the next 10-25 years as nuclear plants are aging and renewable tech is progressing. Also fusion? https//t.co/EGpGEKX5rA","Absolute Territory","0","https://twitter.com/SadlyGoose/status/1227340885081427968"
"12-02-2020","  Why do people confuse not wanting to burn  fuels for our future  needs with thinking we want to stop all ...","Freiburg","6","https://twitter.com/TilmanWinkler/status/1227278259123105798"
